source,target,value,category
Collateral depreciation,LGD,1,Collateral depreciation
ECL,Provisions Coverage,1,Collateral depreciation
ECL,Tier I Capital,1,Collateral depreciation
ECL,Tier II Capital,1,Collateral depreciation
ECL,Provisions,1,Collateral depreciation
Equity,Tier I Capital,1,Collateral depreciation
LGD,ECL,1,Collateral depreciation
LGD,RWA,1,Collateral depreciation
Net Interest Income,PAT,1,Collateral depreciation
PAT,Equity,1,Collateral depreciation
Provisions,PAT,1,Collateral depreciation
RWA,CAR,1,Collateral depreciation
Tier I Capital,CAR,1,Collateral depreciation
Tier II Capital,CAR,1,Collateral depreciation
EAD,ECL,1,Exposure Migration from S2 to S3
EAD,RWA,1,Exposure Migration from S2 to S3
ECL,Provisions Coverage,1,Exposure Migration from S2 to S3
ECL,Tier I Capital,1,Exposure Migration from S2 to S3
ECL,Tier II Capital,1,Exposure Migration from S2 to S3
ECL,Provisions,1,Exposure Migration from S2 to S3
ECL Sensitivity,ECL,1,Exposure Migration from S2 to S3
Equity,Tier I Capital,1,Exposure Migration from S2 to S3
Exposure Migration from S2 to S3,Stage Movement,1,Exposure Migration from S2 to S3
Exposure Migration from S2 to S3,Interest Rates movement,1,Exposure Migration from S2 to S3
Exposure Migration from S2 to S3,Liquidity Stress,1,Exposure Migration from S2 to S3
Exposure Migration from S2 to S3,EAD,1,Exposure Migration from S2 to S3
Interest Rates movement,Net Interest Income,1,Exposure Migration from S2 to S3
K-Factor Sensitivity,RWA,1,Exposure Migration from S2 to S3
Liquidity Stress,Net Inflows,1,Exposure Migration from S2 to S3
Liquidity Stress,Net outflows,1,Exposure Migration from S2 to S3
Net Inflows,LCR,1,Exposure Migration from S2 to S3
Net Inflows,NSFR,1,Exposure Migration from S2 to S3
Net Interest Income,PAT,1,Exposure Migration from S2 to S3
Net outflows,LCR,1,Exposure Migration from S2 to S3
Net outflows,NSFR,1,Exposure Migration from S2 to S3
NPL,Net Inflows,1,Exposure Migration from S2 to S3
NPL,NPL Ratio,1,Exposure Migration from S2 to S3
NPL,Provisions Coverage,1,Exposure Migration from S2 to S3
NPL,Net Interest Income,1,Exposure Migration from S2 to S3
NPL,Provisions,1,Exposure Migration from S2 to S3
PAT,Equity,1,Exposure Migration from S2 to S3
Provisions,PAT,1,Exposure Migration from S2 to S3
RWA,CAR,1,Exposure Migration from S2 to S3
Stage Movement,NPL,1,Exposure Migration from S2 to S3
Stage Movement,K-Factor Sensitivity,1,Exposure Migration from S2 to S3
Stage Movement,ECL Sensitivity,1,Exposure Migration from S2 to S3
Tier I Capital,CAR,1,Exposure Migration from S2 to S3
